pub_date	keywords	headline	source	document_type	web_url	news_desk	section_name	snippet	lead_paragraph
2014-10-18T19:34:38Z		College: Arrests, Injuries During Pumpkin Fest	AP	article	http://www.nytimes.com/aponline/2014/10/18/us/ap-us-pumpkin-fest-crowds.html	None	U.S.	Huge crowds including Keene State College students and visitors to an annual pumpkin festival in New Hampshire became unruly Saturday, leading to injuries and arrests.	Huge crowds including Keene State College students and visitors to an annual pumpkin festival in New Hampshire became unruly Saturday, leading to injuries and arrests.
2014-10-18T04:14:31Z		Hong Kong Democracy Street Battles Rage On	Reuters	article	http://www.nytimes.com/reuters/2014/10/18/world/asia/18reuters-hongkong-china.html	None	World	Violent clashes erupted early on Sunday in a Hong Kong protest hotspot as unarmed pro-democracy activists once again confronted riot police despite the confirmation of talks between protest leaders and officials early this week.	Violent clashes erupted early on Sunday in a Hong Kong protest hotspot as unarmed pro-democracy activists once again confronted riot police despite the confirmation of talks between protest leaders and officials early this week.
2014-10-18T02:58:10Z		In Hong Kong, No Endgame for Chaotic Protests	AP	article	http://www.nytimes.com/aponline/2014/10/18/world/asia/ap-as-hong-kong-democracy-protest-endgame.html	None	World	Three weeks ago, students at a rally stormed a fenced-off courtyard outside Hong Kong's government headquarters, triggering unprecedented mass protests for greater democracy in the semiautonomous Chinese city.	Three weeks ago, students at a rally stormed a fenced-off courtyard outside Hong Kong's government headquarters, triggering unprecedented mass protests for greater democracy in the semiautonomous Chinese city.
2014-10-18T00:00:00Z	China; Hong Kong; Demonstrations, Protests and Riots; Communist Party of China	Beijing Is Directing Hong Kong Strategy, Government Insiders Say	The New York Times	article	http://www.nytimes.com/2014/10/18/world/asia/china-is-directing-response-to-hong-kong-protests.html	Foreign	World	China has played a hidden role in directing the broad outlines of the response to pro-democracy protests, current and former officials from both governments say.	China has played a hidden role in directing the broad outlines of the response to pro-democracy protests, current and former officials from both governments say.
2014-10-19T00:48:26Z		Students Clean Up After Mayhem Near Pumpkin Fest	AP	article	http://www.nytimes.com/aponline/2014/10/19/us/ap-us-pumpkin-fest-crowds.html	None	U.S.	Keene State College students quickly cleaned up from a chaotic weekend on Sunday after violent parties near the city's annual pumpkin festival led to destruction, dozens of arrests and multiple injuries.	Keene State College students quickly cleaned up from a chaotic weekend on Sunday after violent parties near the city's annual pumpkin festival led to destruction, dozens of arrests and multiple injuries.
2014-10-20T00:00:00Z	Colleges and Universities; Pumpkins; Keene (NH); New Hampshire; Demonstrations, Protests and Riots; Hassan, Maggie; Keene State College	Pumpkin Festival Takes a Menacing Turn	The New York Times	article	http://www.nytimes.com/2014/10/20/us/pumpkin-festival-goes-from-treat-to-trick.html	National	U.S.	Hordes of partyers in New Hampshire turned parts of the city near Keene State College into chaos, and drew police officers in riot gear to break them up.	Hordes of partyers in New Hampshire turned parts of the city near Keene State College into chaos, and drew police officers in riot gear to break them up.
2014-10-20T08:43:07Z		Students Clean Up After Mayhem Near Pumpkin Fest	AP	article	http://www.nytimes.com/aponline/2014/10/20/us/ap-us-travel-pumpkin-fest-crowds.html	None	U.S.	Keene State College students quickly cleaned up from a chaotic weekend on Sunday after violent parties near the city's annual pumpkin festival led to destruction, dozens of arrests and multiple injuries.	Keene State College students quickly cleaned up from a chaotic weekend on Sunday after violent parties near the city's annual pumpkin festival led to destruction, dozens of arrests and multiple injuries.
2014-10-20T07:56:45Z		Police Probe New Hampshire Pumpkin Fest Melee	AP	article	http://www.nytimes.com/aponline/2014/10/20/us/ap-us-pumpkin-fest-crowds.html	None	U.S.	Local authorities in New Hampshire vowed Monday to prosecute the perpetrators of the violent disturbances near Keene's annual pumpkin festival that led to property damage and dozens of arrests and injuries over the weekend.	Local authorities in New Hampshire vowed Monday to prosecute the perpetrators of the violent disturbances near Keene's annual pumpkin festival that led to property damage and dozens of arrests and injuries over the weekend.
2014-10-20T07:00:16Z		What's Going On in This Picture? | Oct. 20, 2014	The New York Times	blogpost	http://learning.blogs.nytimes.com/2014/10/20/whats-going-on-in-this-picture-oct-20-2014/	None	U.S.	On Mondays, we publish a Times photo without a caption, headline or other information about its origins. Join the conversation by posting about what you see, and why. A live discussion is offered from 9 a.m. to 2 p.m. Eastern time.	None
2014-10-20T20:11:57Z		Worst Ebola Outbreak on Record Tests Global Response	Reuters	article	http://www.nytimes.com/reuters/2014/10/20/world/africa/20reuters-health-ebola.html	None	World	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. 	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. 
2014-10-20T20:18:07Z		Worst Ebola Outbreak on Record Tests Global Response	Reuters	article	http://www.nytimes.com/reuters/2014/10/20/world/africa/20reuters-health-ebola-timeline.html	None	World	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. 	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. 
2014-10-21T06:07:15Z		Hong Kong Students Put Their Case to Government, but No Breakthrough	Reuters	article	http://www.nytimes.com/reuters/2014/10/21/world/europe/21reuters-hongkong-china.html	None	World	Thousands of Hong Kong protesters listened raptly from the streets on Tuesday as student leaders debated their call for full democracy for the Chinese-run city with government leaders to try end a weeks-long occupation of major traffic arteries.	Thousands of Hong Kong protesters listened raptly from the streets on Tuesday as student leaders debated their call for full democracy for the Chinese-run city with government leaders to try end a weeks-long occupation of major traffic arteries.
2014-10-21T01:14:04Z		Hong Kong Students, Officials Talk but Don't Agree	AP	article	http://www.nytimes.com/aponline/2014/10/21/world/asia/ap-as-hong-kong-democracy-protest.html	None	World	Hong Kong student leaders and government officials talked but agreed on little Tuesday as the city's Beijing-backed leader reaffirmed his unwillingness to compromise on the key demand of activists camped in the streets now for a fourth week.	Hong Kong student leaders and government officials talked but agreed on little Tuesday as the city's Beijing-backed leader reaffirmed his unwillingness to compromise on the key demand of activists camped in the streets now for a fourth week.
2014-10-21T22:13:38Z		Chronology: Worst Ebola Outbreak on Record Tests Global Response	Reuters	article	http://www.nytimes.com/reuters/2014/10/21/world/africa/21reuters-health-ebola-chronology.html	None	World	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. (Graphics: http://graphics.thomsonreuters.com/14/ebola/ index.html)	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. (Graphics: http://graphics.thomsonreuters.com/14/ebola/ index.html)
2014-10-21T14:49:59Z		Worst Ebola Outbreak on Record Tests Global Response	Reuters	article	http://www.nytimes.com/reuters/2014/10/21/world/africa/21reuters-health-ebola.html	None	World	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. (Graphics: http://graphics.thomsonreuters.com/14/ebola/index.html)	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,500 people. (Graphics: http://graphics.thomsonreuters.com/14/ebola/index.html)
2014-10-22T12:49:09Z		UK Says Likely to Review Tear Gas Sales to Hong Kong After Protests	Reuters	article	http://www.nytimes.com/reuters/2014/10/22/world/europe/22reuters-hongkong-china-britain.html	None	World	Britain said on Wednesday it was likely to consider whether it needed to block British firms exporting tear gas to Hong Kong after police there used it against pro-democracy protesters.	Britain said on Wednesday it was likely to consider whether it needed to block British firms exporting tear gas to Hong Kong after police there used it against pro-democracy protesters.
2014-10-22T08:23:26Z		Police Employ High-Tech Tool in Pumpkin Riot Probe	AP	article	http://www.nytimes.com/aponline/2014/10/22/us/ap-us-pumpkin-fest-crowds.html	None	U.S.	Police in New Hampshire are using a relatively new application to collect photos and videos they hope will lead to arrests following weekend chaos at a pumpkin festival.	Police in New Hampshire are using a relatively new application to collect photos and videos they hope will lead to arrests following weekend chaos at a pumpkin festival.
2014-10-22T11:08:02Z		Dozens Released Ebola-Free From Sierra Leone Site	AP	article	http://www.nytimes.com/aponline/2014/10/22/world/africa/ap-af-ebola-west-africa.html	None	World	Dozens of Ebola survivors have been discharged from a treatment center near Sierra Leone's capital and told they were virus-free, as police and residents clashed in other areas of the West African country.	Dozens of Ebola survivors have been discharged from a treatment center near Sierra Leone's capital and told they were virus-free, as police and residents clashed in other areas of the West African country.
2014-10-22T00:23:44Z		Hong Kong Protesters March After Fruitless Talks With Government	Reuters	article	http://www.nytimes.com/reuters/2014/10/22/world/europe/22reuters-hongkong-china.html	None	World	About 200 Hong Kong protesters marched to the home of the city's Beijing-backed leader on Wednesday to push their case for greater democracy a day after talks between student leaders and senior officials failed to break the deadlock.	About 200 Hong Kong protesters marched to the home of the city's Beijing-backed leader on Wednesday to push their case for greater democracy a day after talks between student leaders and senior officials failed to break the deadlock.
2014-10-22T00:00:00Z	Hong Kong; Demonstrations, Protests and Riots; Hong Kong Federation of Students; Leung Chun-ying	On TV, Hong Kong Openly Debates Democracy	The New York Times	article	http://www.nytimes.com/2014/10/22/world/asia/hong-kong-student-protesters-and-city-leaders-meet-to-discuss-democracy.html	Foreign	World	After more than three weeks of protests, the meeting resembled less a negotiating session than a high school debate.	After more than three weeks of protests, the meeting resembled less a negotiating session than a high school debate.
2014-10-23T14:31:45Z		Riot police fire tear gas and warning shots as English soccer fans spill into the streets in France	Reuters	multimedia	http://www.nytimes.com/video/multimedia/100000003193549/riot-police-fire-tear-gas-and-warning-shots-as-english-soccer-fa.html	Multimedia/Photos	Multimedia/Photos	English soccer fans clash with police in the French city of Lille, ahead of a Europa League match between Lille and Everton. Rough Cut (no reporter narration)	English soccer fans clash with police in the French city of Lille, ahead of a Europa League match between Lille and Everton. Rough Cut (no reporter narration)
2014-10-23T05:37:44Z		Tunisia Policeman Killed in Pre-election Clash With Militants	Reuters	article	http://www.nytimes.com/reuters/2014/10/23/world/africa/23reuters-tunisia-election-security.html	None	World	A Tunisian policeman was killed and another wounded on Thursday when security forces clashed with Islamist militants on the outskirts of Tunis, three days before parliamentary elections which voters hope will help them advance toward full democracy.	A Tunisian policeman was killed and another wounded on Thursday when security forces clashed with Islamist militants on the outskirts of Tunis, three days before parliamentary elections which voters hope will help them advance toward full democracy.
